candidate_id,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings,penalized_mean_return,penalized_median_return,penalized_p25_return,failed_episode_penalty_return,best_return,p90_MDD,median_trade_count,valid_episode_count,mean_return_excluding_top_5pct,median_return_without_tail_extremes,trimmed_each_tail_count,median_days_to_valid_portfolio,valid_portfolio_reached_count,valid_portfolio_unreached_count,analysis_status,median_day_1_invested_fraction,observed_day_1_invested_fraction_count,median_day_1_holding_count,observed_day_1_holding_count_count,median_day_3_invested_fraction,observed_day_3_invested_fraction_count,median_day_3_holding_count,observed_day_3_holding_count_count,median_day_5_invested_fraction,observed_day_5_invested_fraction_count,median_day_5_holding_count,observed_day_5_holding_count_count
coarse_021_volatility_spike_ratio_1p5,200,132,184,68,0.66,0.92,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.023621099524339884,0.03274554175804184,-0.00653674371671531,-0.04917126122556672,-0.10132390443380246,0.6893939393939394,0.3106060606060606,0.455,0.03666770906155964,0.19632196240642708,2.4026110578969853,1.0,-0.3183879424396924,-0.009770090608109183,-1.0,-1.0,0.4143590768904346,0.08511998895679947,114.0,132.0,0.022831261739011184,0.023621099524339884,7.0,1.0,184.0,16.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9072195803623664,200.0,20.0,200.0,0.8992285136105639,200.0,20.0,200.0,0.8929478925220828,184.0,21.0,184.0
coarse_022_volatility_spike_ratio_2p5,200,137,187,63,0.685,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.027414404882376564,0.031212839985516397,-0.01095908187888317,-0.049993561450974645,-0.1496141437602143,0.6934306569343066,0.30656934306569344,0.475,0.036995590954201574,0.216488896085968,2.394492862498227,1.0,-0.2936192046099213,-0.007023569205346303,-1.0,-1.0,0.3828592936472064,0.08553389333772762,113.0,137.0,0.022375027366251583,0.027414404882376564,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077364374330938,200.0,20.0,200.0,0.9013982727634633,200.0,20.0,200.0,0.8938995710175456,187.0,21.0,187.0
coarse_023_one_day_chase_return_0p03,200,132,184,68,0.66,0.92,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.021626950371052334,0.03188644063434428,-0.008842532882907789,-0.04539031727256547,-0.09102610213154438,0.6742424242424242,0.32575757575757575,0.445,0.03746794385623736,0.20834039964928985,2.3863083670204444,1.0,-0.3189549491813328,-0.010741100357303024,-1.0,-1.0,0.39600873253470636,0.08394316387861418,115.5,132.0,0.02243981409731362,0.021626950371052334,7.0,1.0,184.0,16.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9071940573307855,200.0,20.0,200.0,0.9007914471821425,200.0,20.0,200.0,0.8939468221039588,184.0,21.0,184.0
coarse_024_one_day_chase_return_0p05,200,139,188,61,0.695,0.94,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02464796993917484,0.030520966137038464,-0.012303125515597313,-0.05078648026497865,-0.15407568918542902,0.6834532374100719,0.31654676258992803,0.475,0.03803142553364136,0.20460455408421296,2.3819290314188795,1.0,-0.28378792853475826,-0.004360138148694626,-1.0,-1.0,0.38355919460970633,0.08551057668971256,116.0,139.0,0.021550666992513276,0.02464796993917484,7.0,1.0,188.0,12.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9080163177866425,200.0,20.0,200.0,0.9026186049034177,200.0,20.0,200.0,0.8939392802826889,188.0,21.0,188.0
coarse_025_max_replacements_per_day_1,200,136,187,64,0.68,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.022353068709019874,0.029985121323552237,-0.009976009297419375,-0.04994909336599085,-0.1496141437602143,0.6911764705882353,0.3088235294117647,0.47,0.03744479432402342,0.216488896085968,2.4549234427243207,1.0,-0.2996101174999845,-0.0076059529968358075,-1.0,-1.0,0.38267719578300596,0.08940985850806865,115.5,136.0,0.02112851980519963,0.022353068709019874,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9078336158331558,200.0,20.0,200.0,0.8666869215401651,200.0,20.0,200.0,0.8538854671097293,187.0,21.0,187.0
coarse_026_cash_guard_ratio_0p1,200,138,187,62,0.69,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.0207035615838862,0.03006512320429872,-0.010037643365597704,-0.052359255808723894,-0.15152162507513478,0.6956521739130435,0.30434782608695654,0.48,0.03931141015389611,0.21953974234673956,2.552565629764188,1.0,-0.28925506498903386,-0.004884981059578408,-1.0,-1.0,0.3860237652308798,0.08705271311881346,119.0,138.0,0.02087636294341765,0.0207035615838862,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9079859053094381,200.0,20.0,200.0,0.9101565113906496,200.0,20.0,200.0,0.9126793952991528,187.0,21.0,187.0
coarse_027_cash_guard_ratio_0p14,200,134,187,66,0.67,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02266000677465474,0.03005058861629011,-0.010445285784616815,-0.0443784945176531,-0.1465847347163024,0.6865671641791045,0.31343283582089554,0.46,0.03596101577244376,0.2107159685567287,2.136887480052784,1.0,-0.3098661056270856,-0.009829936952746088,-1.0,-1.0,0.38009467802171093,0.08450403733787967,112.5,134.0,0.0212025718539855,0.02266000677465474,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077983745650386,200.0,20.0,200.0,0.9003771361826307,200.0,20.0,200.0,0.8744463652459905,187.0,21.0,187.0
diagnostic_replacement_2,200,134,187,66,0.67,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.025217141658980147,0.030426144723343956,-0.01179168116108914,-0.04918487118793173,-0.1496141437602143,0.6865671641791045,0.31343283582089554,0.46,0.03754532685535672,0.216488896085968,2.4975057736215676,1.0,-0.30961448303535954,-0.011527948148041034,-1.0,-1.0,0.39176767872464824,0.08798017029996903,116.5,134.0,0.020871238870557963,0.025217141658980147,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9078336158331558,200.0,20.0,200.0,0.8636568147255687,200.0,20.0,200.0,0.8538854671097293,187.0,21.0,187.0
simple_momentum_reference,200,137,187,63,0.685,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.023153928905008447,0.02928513390080918,-0.012253800124749747,-0.05193296866201295,-0.1409805986323528,0.6496350364963503,0.35036496350364965,0.445,0.040984242557481676,0.21098659703752642,2.416181018634303,1.0,-0.29493968327794573,-0.008945029848205666,-1.0,-1.0,0.3680731347323962,0.09422490144651498,113.0,137.0,0.0199361373558363,0.023153928905008447,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9078783723390003,200.0,20.0,200.0,0.8986204669226234,200.0,20.0,200.0,0.8927625109161156,187.0,21.0,187.0
x0352_daily_baseline,200,137,187,63,0.685,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.027414404882376564,0.031019071474818413,-0.012055414174137247,-0.049993561450974645,-0.1496141437602143,0.6934306569343066,0.30656934306569344,0.475,0.036995590954201574,0.216488896085968,2.396017048091054,1.0,-0.29375193603974936,-0.0057034610658804885,-1.0,-1.0,0.3828592936472064,0.08698193199846722,113.0,137.0,0.022170825166516014,0.027414404882376564,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9078336158331558,200.0,20.0,200.0,0.9010721177315051,200.0,20.0,200.0,0.8938538275938571,187.0,21.0,187.0
