symbol,code,name,market,shares,close,market_cap,rank,as_of,known_at_assumption,universe_type
1504.TW,1504,東元,TWSE,2138796616.0,52.2,111645183355.20001,93,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
9904.TW,9904,寶成,TWSE,2946787213.0,36.9,108736448159.7,94,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
8464.TW,8464,億豐,TWSE,293020200.0,366.5,107391903300.0,95,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2354.TW,2354,鴻準,TWSE,1414485192.0,74.4,105237698284.8,96,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3044.TW,3044,健鼎,TWSE,525605898.0,197.5,103807164855.0,97,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2812.TW,2812,台中銀,TWSE,5518756683.0,18.75,103476687806.25,98,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
1503.TW,1503,士電,TWSE,520972223.0,192.0,100026666816.0,99,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3665.TW,3665,貿聯-KY,TWSE,163429591.0,612.0,100018909692.0,100,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
8069.TWO,8069,元太,TPEx,1147069897.0,273.0,313150000000.0,1,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3293.TWO,3293,鈊象電子,TPEx,281801560.0,974.0,274474000000.0,2,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3529.TWO,3529,力旺電子,TPEx,74663242.0,3355.0,250495000000.0,3,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5347.TWO,5347,世界先進,TPEx,1838982267.0,99.9,183714000000.0,4,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6488.TWO,6488,環球晶,TPEx,478113725.0,381.5,182400000000.0,5,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5274.TWO,5274,信驊,TPEx,37820679.0,3325.0,125753000000.0,6,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
8299.TWO,8299,群聯電子,TPEx,205590630.0,534.0,109785000000.0,7,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6223.TWO,6223,旺矽科技,TPEx,94231106.0,926.0,87258000000.0,8,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5483.TWO,5483,中美晶,TPEx,641221651.0,134.5,86244000000.0,9,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6121.TWO,6121,新普科技,TPEx,184970519.0,397.0,73433000000.0,10,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
4966.TWO,4966,譜瑞-KY,TPEx,81160088.0,767.0,62249000000.0,11,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3324.TWO,3324,雙鴻科技,TPEx,91668610.0,672.0,61601000000.0,12,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3374.TWO,3374,精材,TPEx,271364316.0,198.0,53730000000.0,13,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5904.TWO,5904,寶雅國際,TPEx,104936216.0,496.5,52100000000.0,14,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6147.TWO,6147,頎邦科技,TPEx,744675539.0,64.4,47957000000.0,15,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3105.TWO,3105,穩懋,TPEx,423940384.0,112.0,47481000000.0,16,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3680.TWO,3680,家登,TPEx,95947828.0,487.0,46726000000.0,17,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6274.TWO,6274,台燿科技,TPEx,273314217.0,170.0,46463000000.0,18,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5536.TWO,5536,聖暉*,TPEx,124080930.0,371.5,46096000000.0,19,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3131.TWO,3131,弘塑科技,TPEx,29216015.0,1485.0,43385000000.0,20,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6535.TWO,6535,順藥,TPEx,168931825.0,250.0,42232000000.0,21,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
4743.TWO,4743,合一,TPEx,478536486.0,87.3,41776000000.0,22,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5903.TWO,5903,全家,TPEx,223220000.0,186.0,41518000000.0,23,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6187.TWO,6187,萬潤,TPEx,97532548.0,402.0,39208000000.0,24,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3227.TWO,3227,原相科技,TPEx,149180250.0,256.0,38190000000.0,25,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
1785.TWO,1785,光洋科技,TPEx,596156243.0,62.7,37378000000.0,26,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6561.TWO,6561,是方,TPEx,77866370.0,479.0,37297000000.0,27,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5371.TWO,5371,中強光電,TPEx,390981110.0,93.6,36595000000.0,28,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3081.TWO,3081,聯亞,TPEx,92531177.0,387.0,35809000000.0,29,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
8415.TWO,8415,大國鋼,TPEx,1031500000.0,33.7,34761000000.0,30,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3211.TWO,3211,順達科技,TPEx,152393021.0,210.0,32002000000.0,31,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
4123.TWO,4123,晟德,TPEx,724976832.0,43.85,31790000000.0,32,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6548.TWO,6548,長科*,TPEx,950538700.0,33.4,31747000000.0,33,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5508.TWO,5508,永信建設,TPEx,217428133.0,145.5,31635000000.0,34,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6643.TWO,6643,M31,TPEx,41802160.0,753.0,31477000000.0,35,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6188.TWO,6188,廣明光電,TPEx,278358910.0,111.5,31037000000.0,36,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3362.TWO,3362,先進光,TPEx,142460275.0,210.5,29987000000.0,37,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6510.TWO,6510,精測,TPEx,32789022.0,882.0,28919000000.0,38,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
