decision,learning_rate,trees,tree_cap,n_train_rows,latest_label_end,seconds
2022-12-01,0.005,326,3000,94149,2022-11-30,5.4296
2022-12-01,0.001,1612,15000,94149,2022-11-30,29.5205
2022-12-01,0.0005,3232,30000,94149,2022-11-30,57.5645
2023-01-03,0.05,37,3000,96637,2022-12-30,1.9982
2023-01-03,0.01,194,3000,96637,2022-12-30,3.8042
2023-01-03,0.005,371,3000,96637,2022-12-30,6.1501
2023-01-03,0.001,1867,15000,96637,2022-12-30,34.7008
2023-01-03,0.0005,3740,30000,96637,2022-12-30,70.0182
2023-02-01,0.05,27,3000,98016,2023-01-31,1.8937
2023-02-01,0.01,205,3000,98016,2023-01-31,4.0175
2023-02-01,0.005,412,3000,98016,2023-01-31,6.6667
2023-02-01,0.001,2125,15000,98016,2023-01-31,39.0164
2023-02-01,0.0005,4001,30000,98016,2023-01-31,72.9524
2023-03-01,0.05,24,3000,100100,2023-02-24,1.9657
2023-03-01,0.01,148,3000,100100,2023-02-24,3.6713
2023-03-01,0.005,307,3000,100100,2023-02-24,6.4723
2023-03-01,0.001,1473,15000,100100,2023-02-24,29.0694
2023-03-01,0.0005,2962,30000,100100,2023-02-24,58.6354
2023-04-06,0.05,34,3000,102600,2023-03-31,2.1997
2023-04-06,0.01,136,3000,102600,2023-03-31,3.8815
2023-04-06,0.005,264,3000,102600,2023-03-31,5.5601
2023-04-06,0.001,583,15000,102600,2023-03-31,17.6681
2023-04-06,0.0005,1164,30000,102600,2023-03-31,31.6495
2023-05-02,0.05,26,3000,104550,2023-04-28,2.2969
2023-05-02,0.01,111,3000,104550,2023-04-28,3.405
2023-05-02,0.005,253,3000,104550,2023-04-28,5.2689
2023-05-02,0.001,2074,15000,104550,2023-04-28,39.6714
2023-05-02,0.0005,4206,30000,104550,2023-04-28,84.8513
2023-06-01,0.05,25,3000,106943,2023-05-31,2.2628
2023-06-01,0.01,153,3000,106943,2023-05-31,3.9091
2023-06-01,0.005,317,3000,106943,2023-05-31,6.3148
2023-06-01,0.001,1592,15000,106943,2023-05-31,29.0999
2023-06-01,0.0005,3166,30000,106943,2023-05-31,65.3024
2023-07-03,0.05,16,3000,109180,2023-06-30,2.2345
2023-07-03,0.01,78,3000,109180,2023-06-30,3.2793
2023-07-03,0.005,150,3000,109180,2023-06-30,4.446
2023-07-03,0.001,777,15000,109180,2023-06-30,20.3342
2023-07-03,0.0005,1553,30000,109180,2023-06-30,41.86
2023-08-01,0.05,11,3000,111554,2023-07-31,1.995
2023-08-01,0.01,166,3000,111554,2023-07-31,4.2355
2023-08-01,0.005,335,3000,111554,2023-07-31,6.5964
2023-08-01,0.001,1604,15000,111554,2023-07-31,34.1343
2023-08-01,0.0005,3280,30000,111554,2023-07-31,73.2509
2023-09-01,0.05,22,3000,114070,2023-08-31,1.8625
2023-09-01,0.01,108,3000,114070,2023-08-31,2.9834
2023-09-01,0.005,204,3000,114070,2023-08-31,4.7579
2023-09-01,0.001,1058,15000,114070,2023-08-31,25.6872
2023-09-01,0.0005,2169,30000,114070,2023-08-31,54.236
2023-10-02,0.05,24,3000,116275,2023-09-28,2.5636
2023-10-02,0.01,133,3000,116275,2023-09-28,4.1256
2023-10-02,0.005,259,3000,116275,2023-09-28,5.956
2023-10-02,0.001,1140,15000,116275,2023-09-28,27.1245
2023-10-02,0.0005,2293,30000,116275,2023-09-28,55.9062
2023-11-01,0.05,21,3000,118490,2023-10-31,2.2937
2023-11-01,0.01,155,3000,118490,2023-10-31,4.4634
2023-11-01,0.005,243,3000,118490,2023-10-31,6.1784
2023-11-01,0.001,1496,15000,118490,2023-10-31,35.345
