strategy,stage,episode,date,best_iteration,validation_pearson,train_pearson,n_train_rows,n_validation_rows,refit_rows,train_start,validation_end
lgbm_control,full,dev_2020_09m,2020-10-16,21,0.036165,0.449203,36586,11492,,2019-01-02,2020-09-28
lgbm_control,full,dev_2020_10,2020-10-05,33,0.057662,0.466436,35634,11343,,2019-01-02,2020-09-16
lgbm_control,full,dev_2020_10,2020-10-13,61,0.050829,0.468925,36178,11488,,2019-01-02,2020-09-23
lgbm_control,full,dev_2020_10,2020-10-20,46,0.025981,0.459664,36722,11631,,2019-01-02,2020-09-30
lgbm_control,full,dev_2020_10,2020-10-27,42,0.018168,0.459996,37266,11772,,2019-01-02,2020-10-12
lgbm_control,full,dev_2020_10,2020-11-03,22,-0.009239,0.452139,37810,11910,,2019-01-02,2020-10-19
lgbm_control,full,dev_2020_10m,2020-10-15,3,0.039196,0.428339,36450,11491,,2019-01-02,2020-09-25
lgbm_control,full,dev_2020_10m,2020-10-22,29,0.016736,0.460226,36994,11633,,2019-01-02,2020-10-06
lgbm_control,full,dev_2020_10m,2020-10-29,209,-0.017689,0.507209,37538,11774,,2019-01-02,2020-10-14
lgbm_control,full,dev_2020_10m,2020-11-05,75,-0.013417,0.47452,38082,11910,,2019-01-02,2020-10-21
lgbm_control,full,dev_2020_10m,2020-11-12,1,0.012463,0.423535,38626,12053,,2019-01-02,2020-10-28
lgbm_control,full,dev_2020_11,2020-11-02,22,-0.009342,0.452139,37810,11774,,2019-01-02,2020-10-16
lgbm_control,full,dev_2020_11,2020-11-09,18,-0.003989,0.450034,38354,11913,,2019-01-02,2020-10-23
lgbm_control,full,dev_2020_11,2020-11-16,4,-0.014955,0.426046,38898,12055,,2019-01-02,2020-10-30
lgbm_control,full,dev_2020_11,2020-11-23,101,-0.027197,0.475919,39442,12197,,2019-01-02,2020-11-06
lgbm_control,full,dev_2020_11,2020-11-30,134,-0.003906,0.48066,39986,12342,,2019-01-02,2020-11-13
