strategy,stage,episode,date,best_iteration,train_pearson,validation_pearson,prediction_std,n_train_rows,n_validation_rows,n_symbols
lgbm_raw,full,dev_2019_07,2019-07-08,13,0.262872,-0.058615,0.001172,49612,20597,138
lgbm_raw,full,dev_2019_07,2019-07-15,2,0.268074,-0.038287,0.000185,50151,20612,138
lgbm_raw,full,dev_2019_07,2019-07-22,1,0.264775,-0.004467,8.5e-05,50694,20621,138
lgbm_raw,full,dev_2019_07,2019-07-29,706,0.490622,0.007541,0.0123,51265,20624,138
lgbm_raw,full,dev_2019_07m,2019-07-15,2,0.268074,-0.038287,0.000185,50151,20612,138
lgbm_raw,full,dev_2019_07m,2019-07-22,1,0.264775,-0.004467,8.5e-05,50694,20621,138
lgbm_raw,full,dev_2019_07m,2019-07-29,706,0.490622,0.007541,0.0123,51265,20624,138
lgbm_raw,full,dev_2019_07m,2019-08-05,22,0.277725,0.011746,0.001624,51813,20624,138
lgbm_raw,full,dev_2019_07m,2019-08-13,57,0.307425,0.002916,0.002684,52365,20630,138
lgbm_raw,full,dev_2019_08,2019-08-01,29,0.28474,0.002034,0.002047,51594,20625,138
lgbm_raw,full,dev_2019_08,2019-08-08,47,0.294639,0.010448,0.002518,52143,20627,138
lgbm_raw,full,dev_2019_08,2019-08-16,96,0.321108,-0.011746,0.00395,52699,20630,138
lgbm_raw,full,dev_2019_08,2019-08-23,25,0.26381,-0.010387,0.001356,53251,20632,138
lgbm_raw,full,dev_2019_08,2019-08-30,122,0.322629,-0.01771,0.004682,53807,20633,138
lgbm_raw,full,dev_2019_08m,2019-08-15,58,0.303304,0.004352,0.002768,52587,20630,138
lgbm_raw,full,dev_2019_08m,2019-08-22,2,0.249318,0.005177,0.000132,53141,20632,138
lgbm_raw,full,dev_2019_08m,2019-08-29,35,0.267777,-0.010341,0.001864,53696,20634,138
lgbm_raw,full,dev_2019_08m,2019-09-05,32,0.267794,-0.026834,0.001609,54253,20631,138
lgbm_raw,full,dev_2019_08m,2019-09-16,101,0.311901,-0.016133,0.003606,54808,20630,138
lgbm_raw,full,dev_2019_09,2019-09-02,1,0.24768,-0.01698,6.3e-05,53918,20632,138
lgbm_raw,full,dev_2019_09,2019-09-10,1,0.247019,-0.012837,6.3e-05,54475,20630,138
lgbm_raw,full,dev_2019_09,2019-09-18,32,0.271761,-0.015659,0.001603,55033,20628,138
lgbm_raw,full,dev_2019_09,2019-09-25,4,0.24791,0.006653,0.000243,55590,20625,138
lgbm_raw,full,dev_2019_09,2019-10-03,64,0.292525,0.003457,0.0023,56145,20627,138
lgbm_raw,full,dev_2019_09m,2019-09-16,101,0.311901,-0.016133,0.003606,54808,20630,138
lgbm_raw,full,dev_2019_09m,2019-09-23,9,0.249034,-0.005135,0.000532,55367,20626,138
lgbm_raw,full,dev_2019_09m,2019-10-01,84,0.30336,0.004792,0.003058,55923,20626,138
lgbm_raw,full,dev_2019_09m,2019-10-08,2,0.239484,0.013175,0.000101,56479,20629,138
lgbm_raw,full,dev_2019_09m,2019-10-17,1,0.242908,0.007968,5.4e-05,57037,20628,138
lgbm_raw,full,dev_2019_10,2019-10-01,84,0.30336,0.004792,0.003058,55923,20626,138
lgbm_raw,full,dev_2019_10,2019-10-08,2,0.239484,0.013175,0.000101,56479,20629,138
lgbm_raw,full,dev_2019_10,2019-10-17,1,0.242908,0.007968,5.4e-05,57037,20628,138
lgbm_raw,full,dev_2019_10,2019-10-24,287,0.384594,0.005572,0.007138,57593,20626,138
lgbm_raw,full,dev_2019_10,2019-10-31,6,0.248416,-0.00025,0.000335,58151,20625,138
lgbm_raw,full,dev_2019_10m,2019-10-15,7,0.254877,0.016831,0.000322,56814,20629,138
lgbm_raw,full,dev_2019_10m,2019-10-22,124,0.328466,0.006769,0.004309,57370,20626,138
lgbm_raw,full,dev_2019_10m,2019-10-29,1,0.229838,0.006954,6e-05,57927,20625,138
lgbm_raw,full,dev_2019_10m,2019-11-05,1,0.235265,0.00962,6.2e-05,58490,20622,138
lgbm_raw,full,dev_2019_10m,2019-11-12,546,0.444713,-0.000206,0.009437,59052,20620,138
lgbm_raw,full,dev_2019_11,2019-11-01,3000,0.665352,0.02735,0.01571,58264,20624,138
lgbm_raw,full,dev_2019_11,2019-11-08,31,0.274149,0.001402,0.001578,58827,20621,138
lgbm_raw,full,dev_2019_11,2019-11-15,529,0.442558,-0.005921,0.009478,59387,20618,138
lgbm_raw,full,dev_2019_11,2019-11-22,441,0.418102,-0.003071,0.009608,59947,20618,138
lgbm_raw,full,dev_2019_11,2019-11-29,2883,0.653354,0.010692,0.016952,60505,20616,138
lgbm_raw,full,dev_2019_11m,2019-11-15,529,0.442558,-0.005921,0.009478,59387,20618,138
lgbm_raw,full,dev_2019_11m,2019-11-22,441,0.418102,-0.003071,0.009608,59947,20618,138
lgbm_raw,full,dev_2019_11m,2019-11-29,2883,0.653354,0.010692,0.016952,60505,20616,138
lgbm_raw,full,dev_2019_11m,2019-12-06,14,0.251136,0.003344,0.000984,61064,20617,138
lgbm_raw,full,dev_2019_11m,2019-12-13,614,0.458775,0.011295,0.010737,61622,20619,138
