candidate_id,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings,penalized_mean_return,penalized_median_return,penalized_p25_return,failed_episode_penalty_return
tune_2cf1b9184c7a,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2d37072d9d8f,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2d5ef24ea060,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2d6196e4c155,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2dd7266328ad,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2e3b1bee7333,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2e587f5991a1,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2e5eb6174199,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2f0c8e75e3fe,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2fdc6d2efdc4,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_30ac6768995d,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_30e62840de9d,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_31a56a607886,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_3264ebdb2fb3,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_32cb3914ece5,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_32ec46c5c289,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_32ef5abc7dc7,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_3329f22e0fea,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_33ef65bdd918,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_34466d2dba2b,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_3482f19843ce,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_34867a409b57,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_35b973d3022e,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_36146a4fb5ee,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_3614d53cd4bb,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
