strategy,stage,episode,date,best_iteration,validation_pearson,train_pearson,target_std,prediction_std,n_train_rows,n_validation_rows,n_symbols,latest_label_end,raw_target_mean,raw_target_std,alpha_target_mean,alpha_target_std,alpha_cross_section_mean_error
lgbm_raw,full,dev_2019_08,2019-08-30,122,-0.01771,0.322629,0.070024,0.004682,53807,20633,138,2019-08-29,0.007315,0.066499,0.0,0.059875,0.0
lgbm_raw,full,dev_2019_08m,2019-08-15,58,0.004352,0.303304,0.07012,0.002768,52587,20630,138,2019-08-14,0.007644,0.066499,0.0,0.059764,0.0
lgbm_raw,full,dev_2019_08m,2019-08-22,2,0.005177,0.249318,0.070178,0.000132,53141,20632,138,2019-08-21,0.007377,0.066492,0.0,0.059853,0.0
lgbm_raw,full,dev_2019_08m,2019-08-29,35,-0.010341,0.267777,0.070052,0.001864,53696,20634,138,2019-08-28,0.00731,0.066499,0.0,0.059876,0.0
lgbm_raw,full,dev_2019_08m,2019-09-05,32,-0.026834,0.267794,0.069802,0.001609,54253,20631,138,2019-09-04,0.007331,0.066465,0.0,0.059835,0.0
lgbm_raw,full,dev_2019_08m,2019-09-16,101,-0.016133,0.311901,0.069627,0.003606,54808,20630,138,2019-09-12,0.007444,0.066384,0.0,0.059711,0.0
lgbm_raw,full,dev_2019_09,2019-09-02,1,-0.01698,0.24768,0.069989,6.3e-05,53918,20632,138,2019-08-30,0.007326,0.066504,0.0,0.059878,0.0
lgbm_raw,full,dev_2019_09,2019-09-10,1,-0.012837,0.247019,0.069677,6.3e-05,54475,20630,138,2019-09-06,0.007337,0.066411,0.0,0.059774,0.0
lgbm_raw,full,dev_2019_09,2019-09-18,32,-0.015659,0.271761,0.069623,0.001603,55033,20628,138,2019-09-17,0.007531,0.066379,0.0,0.059691,0.0
lgbm_raw,full,dev_2019_09,2019-09-25,4,0.006653,0.24791,0.069657,0.000243,55590,20625,138,2019-09-24,0.007787,0.066391,0.0,0.059689,0.0
lgbm_raw,full,dev_2019_09,2019-10-03,64,0.003457,0.292525,0.069472,0.0023,56145,20627,138,2019-10-02,0.007842,0.066405,-0.0,0.059705,0.0
