date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan
2025-10-30,1293132321.1129882,1312329501.1129882,98641092.81098628,0.07628074188578529,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-31,1299624092.8109863,1318821272.8109863,98641092.81098628,0.07589971081378866,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-03,1288495321.1129882,1307692501.1129882,98641092.81098628,0.0765552588315037,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-04,1284785706.9619873,1303982886.9619873,98641092.81098628,0.07677629995140096,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-05,1269947321.1129882,1289144501.1129882,98641092.81098628,0.07767337366760751,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-06,1272729478.6599853,1291926658.6599853,98641092.81098628,0.07750358144830763,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-07,1258818478.6599853,1278015658.6599853,98641092.81098628,0.07836006102801249,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-10,1273656864.508984,1292854044.508984,98641092.81098628,0.07744714888261059,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-11,1265310321.1129882,1284507501.1129882,98641092.81098628,0.07795802434000532,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-12,1270874706.9619873,1290071886.9619873,98641092.81098628,0.0776166936603741,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-13,1265310321.1129882,1284507501.1129882,98641092.81098628,0.07795802434000532,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-14,1243052706.9619873,1262249886.9619873,98641092.81098628,0.07935391014276817,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
