date,A,A_dplan_guard,v1_matched,0050
2025-05-14,881373575.3892015,881373575.3892015,903866791.468172,946748364.5089842
2025-05-15,878339755.9109082,878339755.9109082,903386108.749408,944893592.8109864
2025-05-16,881594718.6621866,881594718.6621866,907981921.7538325,947212092.8109864
2025-05-19,870703559.3114861,870703559.3114861,894311136.0161855,935387728.6599852
2025-05-20,877120240.7398298,877120240.7398298,901627286.1375256,937010706.9619873
2025-05-21,888582910.7335756,888582910.7335756,917426146.2664468,949994321.112988
2025-05-22,885150628.4426763,885150628.4426763,920785800.9908984,940720321.112988
2025-05-23,880921793.05179,880921793.05179,914683873.0514684,937242571.112988
2025-05-26,878102503.2642543,878102503.2642543,911444783.4323928,936315114.5089842
2025-05-27,874665894.2501117,874665894.2501117,907010333.5495814,928895956.9619873
2025-05-28,874393963.0431764,874393963.0431764,907482114.5922012,930287071.1129882
2025-05-29,879882561.1094649,879882561.1094649,914647682.7993976,932141842.8109864
2025-06-02,870645939.3331028,870645939.3331028,911054163.638662,914289392.8109864
2025-06-03,885438459.348565,885438459.348565,929799097.4505928,920085642.8109864
2025-06-04,888546494.4077963,888546494.4077963,933380221.7644413,939329192.8109864
2025-06-05,887337241.9678292,887337241.9678292,929767611.3275254,940952142.8109864
2025-06-06,887513670.2909456,887513670.2909456,924371353.0874484,942343242.8109864
2025-06-09,903163590.157504,903163590.157504,934420351.272506,950457992.8109864
2025-06-10,927577448.4419808,927577448.4419808,952954500.6867788,973411142.8109864
2025-06-11,943290462.5924244,943290462.5924244,966799033.3692632,973411142.8109864
2025-06-12,941578515.21382,941578515.21382,965488825.8081744,973411142.8109864
2025-06-13,939082112.2410668,939082112.2410668,963873448.070176,973411142.8109864
2025-06-16,944531024.3074884,944531024.3074884,970904258.6794436,973411142.8109864
2025-06-17,941389099.78463,941389099.78463,968972961.2786664,973411142.8109864
2025-06-18,944831301.2695378,944831301.2695378,973432233.1166496,980969452.8109864
2025-06-19,939797368.7366818,939797368.7366818,967579843.5947416,972251892.8109864
2025-06-20,930227182.3472532,930227182.3472532,959730168.1497278,970953532.8109864
2025-06-23,937526259.1066216,937526259.1066216,966269088.8944368,963719812.8109864
2025-06-24,965448573.0399164,965448573.0399164,982621349.0969142,979485612.8109864
2025-06-25,977260256.9165344,977260256.9165344,992655772.808454,992283732.8109864
2025-06-26,972272889.5510912,972272889.5510912,987861366.89361,993396612.8109864
