effect,treated,control,split,dq_treatment,pairs,attempted,pairs_with_dq,median,p25,p10,mean,wins,losses,ties,sign_p,med_ci_lo,med_ci_hi,mean_ci_lo,mean_ci_hi,identical
regime (direct): B2 - B1,B2,B1,val+holdout,exclude,12,12,0,0,0,-0.000371831,0.000768037,2,2,8,1,0,0,-0.000155733,0.00225307,False
regime (direct): B2 - B1,B2,B1,val+holdout,minus100,12,12,0,0,0,-0.000371831,0.000768037,2,2,8,1,0,0,-0.000155733,0.00215119,False
optimizer continuous vs equal: A5 - A4,A5,A4,development,exclude,13,18,5,6.79825e-05,-0.0164121,-0.0295255,0.00107163,7,6,0,1,-0.0164121,0.0221432,-0.0112708,0.0139972,False
optimizer continuous vs equal: A5 - A4,A5,A4,development,minus100,18,18,5,-0.0149403,-0.755687,-1.02083,-0.284764,7,11,0,0.480682,-0.51412,0.0066267,-0.51241,-0.102665,False
optimizer continuous vs equal: A5 - A4,A5,A4,validation,exclude,6,8,2,0.00852616,-0.0440518,-0.0645466,-0.00481818,4,2,0,0.6875,-0.0645466,0.0415659,-0.042075,0.0294695,False
optimizer continuous vs equal: A5 - A4,A5,A4,validation,minus100,8,8,2,-0.0292666,-0.304939,-1.00937,-0.256018,4,4,0,1,-1.00899,0.0299782,-0.620504,0.0070041,False
optimizer continuous vs equal: A5 - A4,A5,A4,historical_holdout,exclude,2,4,2,0.000815978,-0.0227486,-0.0368873,0.000815978,1,1,0,1,-0.0463132,0.0479451,-0.0463132,0.0479451,False
optimizer continuous vs equal: A5 - A4,A5,A4,historical_holdout,minus100,4,4,2,-0.553484,-1.06734,-1.07938,-0.536607,1,3,0,0.625,-1.0874,0.0479451,-1.07403,0.000815978,False
optimizer continuous vs equal: A5 - A4,A5,A4,core_all,exclude,21,30,9,0.000303611,-0.0219287,-0.0463132,-0.00063552,12,9,0,0.663624,-0.0164121,0.0221432,-0.0150907,0.0135939,False
optimizer continuous vs equal: A5 - A4,A5,A4,core_all,minus100,30,30,9,-0.0191704,-0.998699,-1.03519,-0.310678,12,18,0,0.361595,-0.0645466,0.0029774,-0.485835,-0.142306,False
optimizer continuous vs equal: A5 - A4,A5,A4,val+holdout,exclude,8,12,4,0.00852616,-0.0494441,-0.0622627,-0.00340964,5,3,0,0.726562,-0.0588369,0.0479451,-0.035742,0.02742,False
optimizer continuous vs equal: A5 - A4,A5,A4,val+holdout,minus100,12,12,4,-0.052575,-1.0093,-1.05561,-0.349548,5,7,0,0.774414,-1.00962,0.0233634,-0.6212,-0.0863731,False
forecast vs momentum score (both +conf): A6 - A3,A6,A3,development,exclude,18,18,0,-0.00248836,-0.0100238,-0.0206213,-0.00327684,8,10,0,0.814529,-0.00936155,0.00481788,-0.00891806,0.0023585,False
forecast vs momentum score (both +conf): A6 - A3,A6,A3,development,minus100,18,18,0,-0.00248836,-0.0100238,-0.0206213,-0.00327684,8,10,0,0.814529,-0.00936155,0.00498262,-0.00902821,0.00231981,False
forecast vs momentum score (both +conf): A6 - A3,A6,A3,validation,exclude,8,8,0,-0.00300183,-0.0124457,-0.0166856,-0.00467446,3,5,0,0.726562,-0.0150083,0.00357235,-0.0113964,0.0018487,False
forecast vs momentum score (both +conf): A6 - A3,A6,A3,validation,minus100,8,8,0,-0.00300183,-0.0124457,-0.0166856,-0.00467446,3,5,0,0.726562,-0.0150083,0.00357235,-0.0113422,0.00184329,False
forecast vs momentum score (both +conf): A6 - A3,A6,A3,historical_holdout,exclude,4,4,0,0.00102768,-0.0157182,-0.0168082,0.00165108,2,2,0,1,-0.0175349,0.0220839,-0.0163238,0.0196259,False
forecast vs momentum score (both +conf): A6 - A3,A6,A3,historical_holdout,minus100,4,4,0,0.00102768,-0.0157182,-0.0168082,0.00165108,2,2,0,1,-0.0175349,0.0220839,-0.0163238,0.0196259,False
forecast vs momentum score (both +conf): A6 - A3,A6,A3,core_all,exclude,30,30,0,-0.00248836,-0.0141541,-0.0197407,-0.00299248,13,17,0,0.584665,-0.00936155,0.00340137,-0.00754149,0.00155757,False
forecast vs momentum score (both +conf): A6 - A3,A6,A3,core_all,minus100,30,30,0,-0.00248836,-0.0141541,-0.0197407,-0.00299248,13,17,0,0.584665,-0.00936155,0.00340137,-0.00753588,0.00150211,False
forecast vs momentum score (both +conf): A6 - A3,A6,A3,val+holdout,exclude,12,12,0,-0.00300183,-0.0150344,-0.0172927,-0.00256595,5,7,0,0.774414,-0.0150604,0.00628839,-0.0098549,0.00509884,False
forecast vs momentum score (both +conf): A6 - A3,A6,A3,val+holdout,minus100,12,12,0,-0.00300183,-0.0150344,-0.0172927,-0.00256595,5,7,0,0.774414,-0.0150604,0.00628839,-0.00975854,0.00523008,False
adaptive family net: A11 - M00,A11,M00,development,exclude,18,18,0,0.00147856,-0.019057,-0.0370856,-0.00057298,10,8,0,0.814529,-0.0150914,0.0134278,-0.012352,0.0110075,False
adaptive family net: A11 - M00,A11,M00,development,minus100,18,18,0,0.00147856,-0.019057,-0.0370856,-0.00057298,10,8,0,0.814529,-0.0150592,0.0170537,-0.0122116,0.0109206,False
adaptive family net: A11 - M00,A11,M00,validation,exclude,8,8,0,0.00892494,-0.00450188,-0.00938096,0.0102084,5,3,0,0.726562,-0.00626969,0.0276544,-0.00182497,0.0226123,False
adaptive family net: A11 - M00,A11,M00,validation,minus100,8,8,0,0.00892494,-0.00450188,-0.00938096,0.0102084,5,3,0,0.726562,-0.00626969,0.0276544,-0.00170012,0.0222557,False
adaptive family net: A11 - M00,A11,M00,historical_holdout,exclude,4,4,0,-0.00913869,-0.0194964,-0.0281291,-0.0134577,0,4,0,0.125,-0.0338842,-0.00166915,-0.0263074,-0.00262301,False
adaptive family net: A11 - M00,A11,M00,historical_holdout,minus100,4,4,0,-0.00913869,-0.0194964,-0.0281291,-0.0134577,0,4,0,0.125,-0.0338842,-0.00166915,-0.0263074,-0.00262301,False
adaptive family net: A11 - M00,A11,M00,core_all,exclude,30,30,0,-5.88675e-05,-0.0137699,-0.0339432,0.0005841,15,15,0,1,-0.00696356,0.00892494,-0.00776125,0.00880521,False
adaptive family net: A11 - M00,A11,M00,core_all,minus100,30,30,0,-5.88675e-05,-0.0137699,-0.0339432,0.0005841,15,15,0,1,-0.00696356,0.00892494,-0.00774445,0.00868792,False
adaptive family net: A11 - M00,A11,M00,val+holdout,exclude,12,12,0,-0.00262301,-0.0083774,-0.0164466,0.00231972,5,7,0,0.774414,-0.0104851,0.0187545,-0.00870582,0.0134286,False
adaptive family net: A11 - M00,A11,M00,val+holdout,minus100,12,12,0,-0.00262301,-0.0083774,-0.0164466,0.00231972,5,7,0,0.774414,-0.0104851,0.0187545,-0.0085454,0.0135654,False
direct family net: D13 - M00,D13,M00,development,exclude,18,18,0,0.0047043,-0.0138644,-0.0271691,-0.00166685,10,8,0,0.814529,-0.0133208,0.0184784,-0.0150233,0.00993188,False
direct family net: D13 - M00,D13,M00,development,minus100,18,18,0,0.0047043,-0.0138644,-0.0271691,-0.00166685,10,8,0,0.814529,-0.0133208,0.0206952,-0.0151601,0.00993099,False
direct family net: D13 - M00,D13,M00,validation,exclude,8,8,0,0.00348747,-0.00195572,-0.00929794,0.0107825,4,4,0,1,-0.00271723,0.0392105,-0.00409395,0.0256782,False
direct family net: D13 - M00,D13,M00,validation,minus100,8,8,0,0.00348747,-0.00195572,-0.00929794,0.0107825,4,4,0,1,-0.00271723,0.0392105,-0.00391416,0.0255638,False
direct family net: D13 - M00,D13,M00,historical_holdout,exclude,4,4,0,-0.0269851,-0.0474477,-0.0512438,-0.0205046,1,3,0,0.625,-0.0537745,0.0257264,-0.0495566,0.00854743,False
direct family net: D13 - M00,D13,M00,historical_holdout,minus100,4,4,0,-0.0269851,-0.0474477,-0.0512438,-0.0205046,1,3,0,0.625,-0.0537745,0.0257264,-0.0495566,0.00854743,False
direct family net: D13 - M00,D13,M00,core_all,exclude,30,30,0,0.00188371,-0.0138644,-0.0366879,-0.000858711,15,15,0,1,-0.00972802,0.0134278,-0.011152,0.0089199,False
direct family net: D13 - M00,D13,M00,core_all,minus100,30,30,0,0.00188371,-0.0138644,-0.0366879,-0.000858711,15,15,0,1,-0.00972802,0.0134278,-0.011507,0.00888572,False
direct family net: D13 - M00,D13,M00,val+holdout,exclude,12,12,0,-0.00109815,-0.0126369,-0.0432702,0.000353491,5,7,0,0.774414,-0.0166422,0.0271314,-0.0166216,0.0164568,False
direct family net: D13 - M00,D13,M00,val+holdout,minus100,12,12,0,-0.00109815,-0.0126369,-0.0432702,0.000353491,5,7,0,0.774414,-0.0166422,0.0271314,-0.0165424,0.0167006,False
remaining horizon: remaining - A11,adaptive_remaining,A11,development,exclude,18,18,0,0,-0.00198526,-0.00419202,0.000753131,8,7,3,1,-0.00156185,0.00366349,-0.00173352,0.00317035,False
remaining horizon: remaining - A11,adaptive_remaining,A11,development,minus100,18,18,0,0,-0.00198526,-0.00419202,0.000753131,8,7,3,1,-0.00140893,0.00338528,-0.00167323,0.00321285,False
remaining horizon: remaining - A11,adaptive_remaining,A11,validation,exclude,8,8,0,-0.00182257,-0.00420865,-0.00642409,0.00126432,3,5,0,0.726562,-0.00429685,0.0118458,-0.00484137,0.00859194,False
remaining horizon: remaining - A11,adaptive_remaining,A11,validation,minus100,8,8,0,-0.00182257,-0.00420865,-0.00642409,0.00126432,3,5,0,0.726562,-0.00429685,0.0118458,-0.00485607,0.00829445,False
remaining horizon: remaining - A11,adaptive_remaining,A11,historical_holdout,exclude,4,4,0,0.000658347,-0.00425455,-0.00570698,0.0025871,2,2,0,1,-0.00667526,0.015707,-0.00506145,0.0109183,False
remaining horizon: remaining - A11,adaptive_remaining,A11,historical_holdout,minus100,4,4,0,0.000658347,-0.00425455,-0.00570698,0.0025871,2,2,0,1,-0.00667526,0.015707,-0.00506145,0.0109183,False
remaining horizon: remaining - A11,adaptive_remaining,A11,core_all,exclude,30,30,0,0,-0.00259559,-0.00679716,0.00113398,13,14,3,1,-0.00218657,0.00267317,-0.00137661,0.00383922,False
remaining horizon: remaining - A11,adaptive_remaining,A11,core_all,minus100,30,30,0,0,-0.00259559,-0.00679716,0.00113398,13,14,3,1,-0.00218657,0.00267317,-0.0013506,0.00382721,False
remaining horizon: remaining - A11,adaptive_remaining,A11,val+holdout,exclude,12,12,0,-0.00182257,-0.00420865,-0.00643742,0.00170525,5,7,0,0.774414,-0.00423805,0.00830505,-0.003331,0.00725689,False
remaining horizon: remaining - A11,adaptive_remaining,A11,val+holdout,minus100,12,12,0,-0.00182257,-0.00420865,-0.00643742,0.00170525,5,7,0,0.774414,-0.00423805,0.00830505,-0.00327104,0.00738187,False
DE seed0 - equal(A11),adaptive_de_seed_0,A11,development,exclude,14,18,4,-0.0102835,-0.023155,-0.0272028,0.000338383,6,8,0,0.790527,-0.0234182,0.0241601,-0.013613,0.0153109,False
DE seed0 - equal(A11),adaptive_de_seed_0,A11,development,minus100,18,18,4,-0.0190947,-0.0343856,-1.05677,-0.240289,6,12,0,0.237885,-0.032136,0.0116225,-0.472476,-0.0545823,False
DE seed0 - equal(A11),adaptive_de_seed_0,A11,validation,exclude,8,8,0,-0.0124838,-0.0317172,-0.0471375,-0.0121459,3,5,0,0.726562,-0.0457463,0.0164176,-0.0305157,0.00637601,False
DE seed0 - equal(A11),adaptive_de_seed_0,A11,validation,minus100,8,8,0,-0.0124838,-0.0317172,-0.0471375,-0.0121459,3,5,0,0.726562,-0.0457463,0.0164176,-0.0308195,0.00668371,False
DE seed0 - equal(A11),adaptive_de_seed_0,A11,historical_holdout,exclude,4,4,0,-0.00479955,-0.0275637,-0.0329159,-0.00677634,2,2,0,1,-0.036484,0.0189778,-0.0305371,0.0169844,False
DE seed0 - equal(A11),adaptive_de_seed_0,A11,historical_holdout,minus100,4,4,0,-0.00479955,-0.0275637,-0.0329159,-0.00677634,2,2,0,1,-0.036484,0.0189778,-0.0305371,0.0169844,False
