candidate,split,attempted,complete,canonical,measured_pass,median,mean,p25,p10,worst,positive,median_dq_as_minus100,mdd,mean_mdd,turnover,cost_total,day1,day3,day5,cash_violation_days,weight_violation_days,holding_count_violation_days,odd_lot_issue_days,missing_execution_price_days,unfilled_days,no_valid_plan_days,hold_without_envelope_days,rejected_trade_count,family
A4,recent_diagnostic,3,3,2,1,0.0227301,0.0327846,0.018395,0.0157939,0.0140599,3,0.0227301,0.0811045,0.0575109,0.888627,3.79888e+06,0.889419,0.890816,0.892378,0,0,0,28,0,0,29,0,0,momentum
A4,rolling_diagnostic,2,2,2,1,0.0276378,0.0276378,0.00154171,-0.0141159,-0.0245544,1,0.0276378,0.0651572,0.0489653,0.857891,2.44499e+06,0.857885,0.857771,0.859356,0,0,0,20,0,0,19,0,0,momentum
A4,seasonal_diagnostic,16,16,14,12,0.028642,0.0245652,0.000372406,-0.0303778,-0.0629849,12,0.028642,0.0906267,0.0443263,0.904737,2.0628e+07,0.906029,0.906225,0.906322,0,0,0,35,0,0,35,0,0,momentum
A4,validation,8,8,8,8,0.00961924,0.0234242,-0.00934516,-0.0300241,-0.0627709,5,0.00961924,0.0918603,0.0576617,0.910658,1.03815e+07,0.911529,0.911563,0.911526,0,0,0,0,0,0,0,0,0,momentum
A5,development,18,13,12,0,0.00948293,0.0220494,-0.0674928,-0.0852421,-0.102288,8,-0.0509329,0.13032,0.0389911,0.723026,1.95137e+07,0.454253,0.705175,0.904581,19,169,19,32,0,0,30,0,419,momentum
A5,historical_holdout,4,2,2,0,-0.0484894,-0.0484894,-0.0549834,-0.0588798,-0.0614774,0,-0.530739,0.14635,0.0607962,0.694056,4.2173e+06,0.449161,0.671669,0.894857,5,29,5,11,0,0,9,0,110,momentum
A5,recent_diagnostic,3,2,2,0,0.0391648,0.0391648,0.0281052,0.0214694,0.0170455,2,0.0170455,0.0933571,0.0672523,0.926986,4.22109e+06,0.603772,0.898048,0.899126,1,35,1,22,0,0,23,0,22,momentum
A5,rolling_diagnostic,2,1,1,0,-0.0245408,-0.0245408,-0.0245408,-0.0245408,-0.0245408,0,-0.51227,0.0882761,0.0553624,0.897847,2.63109e+06,0.886218,0.885834,0.880264,0,15,0,8,0,0,7,0,0,momentum
A5,seasonal_diagnostic,16,8,6,0,0.021662,0.0374144,0.00428323,-0.0180923,-0.0256882,6,-0.512844,0.0904171,0.0286483,0.591691,1.46361e+07,0.285828,0.568037,0.906695,24,163,24,20,0,0,20,0,531,momentum
A5,validation,8,6,6,0,0.0291529,0.0232076,-0.0263012,-0.0595194,-0.0862461,3,-0.0198097,0.122571,0.0509963,0.703548,8.57767e+06,0.229846,0.679792,0.903842,12,85,12,0,0,0,0,0,264,momentum
A6,development,18,18,18,13,0.00730258,0.0196175,-0.0177492,-0.0850186,-0.120959,10,0.00730258,0.123262,0.0419437,0.978252,2.67837e+07,0.910438,0.910478,0.910191,0,0,0,62,0,0,59,0,0,adaptive
A6,historical_holdout,4,4,4,4,0.0358036,0.01414,-0.010149,-0.0787807,-0.124535,3,0.0358036,0.174749,0.086515,1.11582,7.5284e+06,0.912314,0.912209,0.913269,0,0,0,0,0,0,0,0,0,adaptive
A6,recent_diagnostic,3,3,2,1,0.0368091,0.0387179,0.029027,0.0243578,0.021245,3,0.0368091,0.0836392,0.0576944,1.02061,4.89729e+06,0.887658,0.889559,0.891226,0,0,0,28,0,0,29,0,0,adaptive
A6,rolling_diagnostic,2,2,2,0,0.0214949,0.0214949,-0.00482022,-0.0206093,-0.0311353,1,0.0214949,0.108631,0.0712468,1.11161,3.86939e+06,0.8636,0.864472,0.8668,0,0,0,26,0,0,24,0,0,adaptive
A6,seasonal_diagnostic,16,16,14,13,0.027229,0.0301902,0.00461773,-0.0223496,-0.0580013,12,0.027229,0.102065,0.0445223,1.01659,2.55912e+07,0.90912,0.909528,0.909682,0,0,0,16,0,0,17,0,0,adaptive
A6,validation,8,8,8,7,0.0157495,0.0187529,-0.0285467,-0.0407278,-0.0634306,5,0.0157495,0.0857486,0.0558303,1.00278,1.24286e+07,0.912311,0.912383,0.912611,0,0,0,2,0,0,1,0,0,adaptive
B1,development,18,18,18,13,0.013263,0.0185237,-0.00702232,-0.0717027,-0.169494,11,0.013263,0.177559,0.0466071,1.07192,3.1548e+07,0.91211,0.912309,0.912231,0,0,0,70,0,0,65,0,0,direct
B1,historical_holdout,4,4,4,3,0.0299644,0.00709305,-0.0423182,-0.098521,-0.13599,2,0.0299644,0.16633,0.0879744,1.06102,6.8614e+06,0.913142,0.913055,0.913868,0,0,0,7,0,0,6,0,0,direct
B1,recent_diagnostic,3,3,2,1,0.0417058,0.05875,0.0401861,0.0392742,0.0386663,3,0.0417058,0.0875191,0.0611257,0.881981,3.77047e+06,0.882591,0.884353,0.887256,0,0,0,28,0,0,29,0,0,direct
B1,rolling_diagnostic,2,2,2,1,0.0307368,0.0307368,-0.00537981,-0.0270498,-0.0414964,1,0.0307368,0.0908511,0.0682169,1.0161,3.33603e+06,0.858723,0.860818,0.862839,0,0,0,6,0,0,5,0,0,direct
B1,seasonal_diagnostic,16,16,14,14,0.0248683,0.0291389,0.0105227,-0.0530695,-0.0719606,12,0.0248683,0.100056,0.053981,1.03741,2.64899e+07,0.910462,0.910639,0.910573,0,0,0,0,0,0,2,0,0,direct
B1,validation,8,8,8,8,0.023534,0.019327,-0.00276619,-0.0460998,-0.0948127,6,0.023534,0.129237,0.0632743,1.05874,1.36754e+07,0.912559,0.912705,0.912925,0,0,0,0,0,0,0,0,0,direct
B2,development,18,18,18,13,0.013263,0.0189992,-0.00673953,-0.0719383,-0.160525,11,0.013263,0.168677,0.0461478,1.0633,3.11148e+07,0.911854,0.91205,0.911973,0,0,0,70,0,0,65,0,0,direct
B2,historical_holdout,4,4,4,3,0.0296497,0.00693571,-0.0423182,-0.098521,-0.13599,2,0.0296497,0.16633,0.0879364,1.05826,6.83946e+06,0.910904,0.910832,0.911672,0,0,0,7,0,0,6,0,0,direct
B2,recent_diagnostic,3,3,2,1,0.0417058,0.05875,0.0401861,0.0392742,0.0386663,3,0.0417058,0.0875191,0.0611257,0.881981,3.77047e+06,0.882591,0.884353,0.887256,0,0,0,28,0,0,29,0,0,direct
B2,rolling_diagnostic,2,2,2,1,0.0307368,0.0307368,-0.00537981,-0.0270498,-0.0414964,1,0.0307368,0.0908511,0.0682169,1.0161,3.33603e+06,0.858723,0.860818,0.862839,0,0,0,6,0,0,5,0,0,direct
B2,seasonal_diagnostic,16,16,14,14,0.024865,0.0286465,0.0102399,-0.0556785,-0.0734147,12,0.024865,0.100056,0.0536793,1.00504,2.50932e+07,0.907577,0.907743,0.907633,0,0,0,0,0,0,2,0,0,direct
B2,validation,8,8,8,8,0.0233274,0.0205577,0.00306707,-0.0453554,-0.0923314,6,0.0233274,0.12967,0.0633127,1.03968,1.32547e+07,0.911605,0.911762,0.911983,0,0,0,0,0,0,0,0,0,direct
D00,development,18,18,18,13,0.0115719,0.0237077,-0.00316389,-0.0924306,-0.114433,12,0.0115719,0.127244,0.0446521,1.4519,5.10755e+07,0.909853,0.910514,0.912532,0,0,0,70,0,0,65,0,0,direct
D00,validation,8,8,8,8,-0.0117001,0.0129372,-0.0268665,-0.0456035,-0.051634,3,-0.0117001,0.0857212,0.0621661,1.5774,2.55511e+07,0.913939,0.914054,0.915993,0,0,0,0,0,0,0,0,0,direct
D01,development,18,18,17,7,0.00332869,0.0117371,-0.0226569,-0.10068,-0.137774,9,0.00332869,0.139412,0.0502737,2.31896,9.65466e+07,0.909461,0.931742,0.942724,0,7,0,94,0,0,87,0,2,direct
D02,development,18,8,7,0,0.010906,0.0469696,-0.0255122,-0.0293407,-0.0345482,5,-1,0.177684,0.0452642,2.14273,8.9344e+07,0.504516,0.884632,0.93232,11,152,11,36,1,1,39,0,291,direct
D03,development,18,18,18,12,0.00765629,0.0212487,-0.0195526,-0.0858671,-0.118442,11,0.00765629,0.126623,0.0448483,1.74889,6.67303e+07,0.911133,0.912196,0.914569,0,0,0,80,0,0,74,0,0,direct
D04,development,18,18,15,10,-0.00161696,-0.00186217,-0.0391513,-0.0896283,-0.166116,9,-0.00161696,0.1744,0.0562925,2.09766,8.48191e+07,0.90997,0.920382,0.941242,0,0,0,28,0,0,25,0,0,direct
D05,development,18,11,10,0,0.0081382,0.0174407,-0.0318727,-0.0579848,-0.0781782,6,-0.0547209,0.138799,0.0358214,0.89151,2.77344e+07,0.353632,0.704868,0.902553,22,205,22,11,0,0,13,0,502,direct
D06,development,18,18,13,9,0.00430058,0.0134473,-0.0289643,-0.0579654,-0.133037,10,0.00430058,0.136468,0.0442258,1.26841,4.24043e+07,0.910303,0.910634,0.909592,0,0,0,76,0,0,78,0,0,direct
D07,development,18,18,17,11,0.0217814,0.0165884,-0.0268642,-0.108957,-0.129611,10,0.0217814,0.140754,0.0504923,1.87269,7.32251e+07,0.909617,0.931841,0.950532,0,12,0,80,0,0,74,0,0,direct
D08,development,18,10,9,0,-0.0100229,-0.0073505,-0.0378588,-0.125092,-0.1767,5,-0.148029,0.184601,0.0542362,1.74401,6.86299e+07,0.758306,0.894202,0.952156,6,151,6,43,0,0,47,0,173,direct
D09,development,18,18,14,10,0.0105469,0.0130076,-0.0208854,-0.0876665,-0.11104,12,0.0105469,0.118361,0.0401682,2.14843,8.77846e+07,0.908794,0.910452,0.913416,0,0,0,57,1,1,65,0,0,direct
D10,development,18,18,10,6,-0.00441991,0.00620394,-0.0208207,-0.0930151,-0.129313,8,-0.00441991,0.132829,0.0492009,2.58828,1.10895e+08,0.91179,0.927928,0.947109,0,1,0,46,1,1,53,0,0,direct
D11,development,18,9,9,0,-0.00828428,-0.0123433,-0.061127,-0.104842,-0.199376,4,-0.599688,0.221261,0.0467878,0.736023,2.08802e+07,0.253038,0.655645,0.904778,29,181,29,20,0,0,17,0,653,direct
D12,development,18,18,15,7,0.0205929,0.0175523,-0.00528292,-0.0160498,-0.0496798,12,0.0205929,0.0764726,0.0218147,1.01735,2.90256e+07,0.908536,0.908655,0.909043,0,0,0,94,0,0,84,0,0,direct
D13,development,18,18,18,13,0.013263,0.0185237,-0.00702232,-0.0717027,-0.169494,11,0.013263,0.177559,0.0466071,1.07192,3.1548e+07,0.91211,0.912309,0.912231,0,0,0,70,0,0,65,0,0,direct
D13,historical_holdout,4,4,4,3,0.0299644,0.00709305,-0.0423182,-0.098521,-0.13599,2,0.0299644,0.16633,0.0879744,1.06102,6.8614e+06,0.913142,0.913055,0.913868,0,0,0,7,0,0,6,0,0,direct
