treated,control,split,dq_treatment,pairs,attempted,pairs_with_dq,median,p25,p10,mean,wins,losses,ties,sign_p,med_ci_lo,med_ci_hi,mean_ci_lo,mean_ci_hi,identical
D13,A0_V3,recent_diagnostic,minus100,3,3,0,0.0119585,0.00695264,0.00394914,0.0188623,3,0,0,0.25,0.00194681,0.0426816,0.00194681,0.0426816,False
D13,A0_V3,recent_diagnostic,zero,3,3,0,0.0119585,0.00695264,0.00394914,0.0188623,3,0,0,0.25,0.00194681,0.0426816,0.00194681,0.0426816,False
D13,A0_V3,rolling_diagnostic,exclude,2,2,0,0.0406154,0.0334564,0.029161,0.0406154,2,0,0,0.5,0.0262974,0.0549334,0.0262974,0.0549334,False
D13,A0_V3,rolling_diagnostic,minus100,2,2,0,0.0406154,0.0334564,0.029161,0.0406154,2,0,0,0.5,0.0262974,0.0549334,0.0262974,0.0549334,False
D13,A0_V3,rolling_diagnostic,zero,2,2,0,0.0406154,0.0334564,0.029161,0.0406154,2,0,0,0.5,0.0262974,0.0549334,0.0262974,0.0549334,False
D13,A0_V3,core_val+holdout,exclude,10,12,2,-0.00665175,-0.0355347,-0.0558258,-0.00681956,5,5,0,1,-0.0418087,0.0241901,-0.0391723,0.0267669,False
D13,A0_V3,core_val+holdout,minus100,12,12,2,0.00765932,-0.0337386,-0.0493424,0.168991,7,5,0,0.774414,-0.0346366,0.065674,-0.0185214,0.428965,False
D13,A0_V3,core_val+holdout,zero,12,12,2,0.00765932,-0.0337386,-0.0493424,0.00232415,7,5,0,0.774414,-0.0346366,0.0250942,-0.027963,0.0326648,False
D13,A0_V3,core_all,exclude,27,30,3,0.00443266,-0.0199387,-0.0421703,-0.00294865,17,10,0,0.247789,-0.00903087,0.0152542,-0.0195517,0.0124014,False
D13,A0_V3,core_all,minus100,30,30,3,0.00704798,-0.0155598,-0.0378671,0.100726,20,10,0,0.0987371,-0.00135842,0.0210254,-0.00170964,0.231116,False
D13,A0_V3,core_all,zero,30,30,3,0.00497718,-0.0155598,-0.0378671,0.000726096,20,10,0,0.0987371,-0.00135842,0.0179149,-0.0149354,0.0152214,False
D13,A11,development,exclude,18,18,0,0.00646723,-0.0111416,-0.0238455,-0.00109387,11,7,0,0.480682,-0.00855461,0.00913155,-0.00992811,0.00661724,False
D13,A11,validation,exclude,8,8,0,0.00489411,-0.0151082,-0.022658,0.000574113,5,3,0,0.726562,-0.018919,0.0149387,-0.012772,0.0137281,False
D13,A11,historical_holdout,exclude,4,4,0,-0.00825458,-0.0183594,-0.0307882,-0.00704692,1,3,0,0.625,-0.039074,0.0273955,-0.0305692,0.017683,False
D13,A11,seasonal_diagnostic,exclude,16,16,0,-0.000258662,-0.0134918,-0.0206422,-0.00105129,8,8,0,1,-0.0132828,0.0146435,-0.0119222,0.00896099,False
D13,A11,recent_diagnostic,exclude,3,3,0,0.0204608,0.011159,0.00557795,0.0200321,3,0,0,0.25,0.00185723,0.0377783,0.00185723,0.0377783,False
D13,A11,rolling_diagnostic,exclude,2,2,0,0.00924192,-0.000559592,-0.0064405,0.00924192,1,1,0,1,-0.0103611,0.0288449,-0.0103611,0.0288449,False
D13,A11,core_val+holdout,exclude,12,12,0,-0.000520835,-0.0151082,-0.0301358,-0.00196623,6,6,0,1,-0.0163785,0.0132474,-0.0139779,0.00993772,False
