episode,start,end,mom20,mom20|turnover,mom20|cost,mom20|dq,mom20|warn,tsmc_formal,tsmc_formal|turnover,tsmc_formal|cost,tsmc_formal|dq,tsmc_formal|warn,tsmc_core_equal,tsmc_core_equal|turnover,tsmc_core_equal|cost,tsmc_core_equal|dq,tsmc_core_equal|warn,tsmc_blend_only,tsmc_blend_only|turnover,tsmc_blend_only|cost,tsmc_blend_only|dq,tsmc_blend_only|warn
dev_2020_07m,2020-07-15,2020-08-17,0.07995712357732998,2.134100645649787,0.004879996784504198,0,0,0.12033029468216672,3.2053421409001386,0.008256799331928431,0,0,0.10658969849928801,1.8578949891688938,0.004184208516687428,0,0,0.09190998673796091,3.938621119057755,0.010303207362169213,0,0
dev_2020_08,2020-08-03,2020-09-03,0.04103099762936302,2.950524987540577,0.007222908151939209,0,0,0.06175884747631022,3.2487382552877886,0.008223826988913165,0,0,0.042967233035177355,2.1059981604770144,0.004764759070890579,0,0,0.06306928814454027,4.458259127006437,0.011842946032298613,0,0
dev_2020_08m,2020-08-17,2020-09-17,-0.028801004507430505,3.2524920523559686,0.007903880824498253,0,0,-0.00969156852524744,3.00777354243149,0.007333988901689099,0,0,-0.010136417294276279,2.285547756913841,0.005167764361342853,0,0,-0.028790303743777668,4.204545986409336,0.010722541878238335,0,0
dev_2020_09,2020-09-01,2020-10-06,-0.06218946665081615,4.558853796248304,0.011468712372009675,0,0,-0.05506547318202415,4.875174811670828,0.012404423243954136,0,0,-0.04148739209225594,3.532924308169604,0.008670330549849932,0,0,-0.08301263033060868,6.354580312502446,0.016326066858809347,0,0
dev_2020_09m,2020-09-15,2020-10-21,-0.024491253695665627,5.245413926216973,0.013389806471254422,0,0,-0.022581793169926367,5.948844346859555,0.0154306463826439,0,0,-0.012050966514912442,4.067620037046308,0.010122520587445442,0,0,-0.04328423294564321,8.011361690856958,0.020996718311274403,0,0
dev_2020_10,2020-10-05,2020-11-06,0.04781001311394473,3.545211265609926,0.009119191150095626,0,0,0.035609271957412814,4.867806266118487,0.013043400008723657,0,0,0.046754454346844776,2.8195369529919185,0.0069430559710433595,0,0,0.033300249379854874,6.81004909344144,0.0187825618120455,0,0
dev_2020_10m,2020-10-15,2020-11-17,0.05455698527461017,3.287728219314145,0.008218051812069397,0,0,0.046500113751717365,4.774786653930411,0.012471723019247946,0,0,0.05641926298065503,2.6163646497836828,0.006217872454321444,0,0,0.039495658487027185,6.4080345823694795,0.017201662568851576,0,0
dev_2020_11,2020-11-02,2020-12-03,0.13398289467224234,2.7066531054232277,0.006905650640087506,0,0,0.12858840167445096,3.9499473583252818,0.010751694054117857,0,0,0.13209648596106538,2.335333791430795,0.005695795651189266,0,0,0.12933133461022717,5.529411982594492,0.015552832824330808,0,0
dev_2020_11m,2020-11-16,2020-12-17,0.07117060224507177,2.978563347721836,0.007577903535283696,0,0,0.05867010516033111,3.53575533736866,0.00924460542111023,0,0,0.07167142384467207,2.247991667694888,0.005323240061583825,0,0,0.060228499477355646,4.677850260394096,0.012729186667410776,0,0
dev_2020_12,2020-12-01,2021-01-04,0.11091309865709431,2.342753932891317,0.005538580243723024,0,0,0.12293160197064701,2.84689504817705,0.007047872689421027,0,0,0.10872401110922136,1.9278754125500153,0.004332280486767208,0,0,0.12901183172077824,4.0410432310963955,0.010655458876664137,0,0
dev_2020_12m,2020-12-15,2021-01-18,0.09483045419318459,2.9862708462626006,0.007795763225570316,0,0,0.10226607069618421,3.1355035139023903,0.008231414537344384,0,0,0.12013833387861172,2.3806542736256,0.0059298644957000764,0,0,0.08350492633972473,4.700968217061977,0.013232181298623764,0,0
