official_ticker,canonical_symbol,name,market,previous_exact_symbol_covered,identity_mapping,first_daily,last_daily,daily_warmup_rows,daily_evaluation_rows,complete_4h_warmup_rows,complete_4h_evaluation_rows,known_at,known_at_policy
2404,2404.TW,漢唐,TWSE,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6919,6919.TW,康霈,TWSE,False,,2024-10-04,2026-09-21,61,412,60,410,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6515,6515.TW,穎崴,TWSE,False,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2324,2324.TW,仁寶,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3533,3533.TW,嘉澤,TWSE,True,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2347,2347.TW,聯強,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2313,2313.TW,華通,TWSE,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
1504,1504.TW,東元,TWSE,True,,2024-01-02,2026-09-21,242,417,62,413,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2337,2337.TW,旺宏,TWSE,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
7750,7750.TW,新代,TWSE,False,,2025-09-17,2026-09-21,0,245,0,242,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
5871,5871.TW,中租-KY,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
1402,1402.TW,遠東新,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3044,3044.TW,健鼎,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
1605,1605.TW,華新,TWSE,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3702,3702.TW,大聯大,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2610,2610.TW,華航,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
1101,1101.TW,台泥,TWSE,True,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6789,6789.TW,采鈺,TWSE,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2409,2409.TW,友達,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
1802,1802.TW,台玻,TWSE,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6239,6239.TW,力成,TWSE,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
8210,8210.TW,勤誠,TWSE,False,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
