track,candidate_id,month,sessions,return_net,start_nav,end_nav,max_drawdown,partial_period,research_eligible
historical_pit,x0352,2025-03,21,-0.06677192832041956,966190652.8303031,901676239.8156587,0.06677192832041956,False,True
historical_pit,x0352,2025-04,20,-0.02899703789156438,901676239.8156587,875530299.7238008,0.14779998727043586,False,True
historical_pit,x0352,2025-05,20,0.06531976418298635,875530299.7238008,932719732.4368187,0.018238677607115283,False,True
historical_pit,x0352,2025-06,21,0.0702143216509068,932719732.4368187,998210015.7402852,0.013352139531202956,False,True
historical_pit,x0352,2025-07,23,0.11054988798218046,998210015.7402852,1108562021.1630642,0.016535260461922663,False,True
historical_pit,x0352,2025-08,21,0.1564486841131063,1108562021.1630642,1281995090.631791,0.06439736421239961,False,True
historical_pit,x0352,2025-09,21,0.05018572932046772,1281995090.631791,1346332949.2404068,0.043203351618161134,False,True
historical_pit,x0352,2025-10,20,0.1346355321201107,1346332949.2404068,1527597202.272227,0.02366882348254451,False,True
historical_pit,x0352,2025-11,20,-0.009045511745693124,1527597202.272227,1513779303.8363857,0.069099532370972,False,True
historical_pit,x0352,2025-12,22,0.03506181234735961,1513779303.8363857,1566855149.7228136,0.029562764837915312,False,True
historical_pit,x0352,2026-01,21,0.06561572483000178,1566855149.7228136,1669665486.0754972,0.029868165199667618,False,True
historical_pit,x0352,2026-02,12,0.06194035380094176,1669665486.0754972,1773085157.0122347,0.05185325219563641,False,True
historical_pit,x0352,2026-03,22,-0.034400404842378385,1773085157.0122347,1712090309.7910018,0.09327104752115567,False,True
historical_pit,x0352,2026-04,20,0.34990151589508445,1712090309.7910018,2311153304.536158,0.020683055061021305,False,True
historical_pit,x0352,2026-05,20,0.1000968760319878,2311153304.536158,2542492530.351233,0.08540607897934926,False,True
historical_pit,x0352,2026-06,21,-0.004576305258141566,2542492530.351233,2530857308.415801,0.07360908853089865,False,True
historical_pit,x0352,2026-07,22,-0.05271291397208788,2530857308.415801,2397448444.841649,0.10316067875951096,False,True
historical_pit,x0352,2026-08,21,0.06601893162536232,2397448444.841649,2555725429.796981,0.01556641738491571,False,True
historical_pit,x0352,2026-09,15,0.0043309425465314355,2555725429.796981,2566794129.798141,0.05155981639096785,True,True
historical_pit,x0454,2025-01,15,-0.005326833103900808,1000000000.0,994673166.8960992,0.051371383135139115,False,False
historical_pit,x0454,2025-02,19,-0.03462347017947798,994673166.8960992,960234130.1637452,0.03993360639605237,False,False
historical_pit,x0454,2025-03,21,-0.08627424346821166,960234130.1637452,877390657.0315118,0.08627424346821166,False,False
historical_pit,x0454,2025-04,20,-0.0349198907353685,877390657.0315118,846752271.1557382,0.19129127495397236,False,False
historical_pit,x0454,2025-05,20,0.0851754941605507,846752271.1557382,918874814.2829969,0.016503545068945025,False,False
historical_pit,x0454,2025-06,21,0.08127565556614624,918874814.2829969,993556967.1970683,0.017434800585248156,False,False
historical_pit,x0454,2025-07,23,0.09012297642213452,993556967.1970683,1083099278.325817,0.01625812137630811,False,False
